Year,Month,Return (%),Amount ($),CPI
2006,9,3.62%,"57,229.10",202.90
2006,10,2.00%,"58,374.62",201.80
2006,11,2.15%,"59,628.66",201.50
2006,12,0.69%,"60,041.78",201.80
2007,1,1.60%,"61,000.08",202.42
2007,2,-2.47%,"59,491.00",203.50
2007,3,4.18%,"61,977.88",205.35
2007,4,3.39%,"64,080.02",206.69
2007,5,0.34%,"64,301.03",207.95
2007,6,0.57%,"64,670.52",208.35
2007,7,-4.20%,"61,953.64",208.30
2007,8,3.07%,"63,858.55",207.92
2007,9,2.99%,"65,768.97",208.49
2007,10,-4.81%,"62,607.91",208.94
2007,11,1.24%,"63,383.13",210.18
2007,12,-6.64%,"59,177.54",210.04
2008,1,-1.56%,"58,252.02",211.08
2008,2,-2.63%,"56,721.95",211.69
2008,3,4.24%,"59,129.12",213.53
2008,4,2.56%,"60,644.36",214.82
2008,5,-4.25%,"58,069.05",216.63
2008,6,-6.08%,"54,539.34",218.82
2008,7,2.11%,"55,690.41",219.96
2008,8,-4.85%,"52,990.80",219.09
2008,9,-20.19%,"42,290.06",218.78
2008,10,-8.61%,"38,650.85",216.57
2008,11,-0.35%,"38,515.10",212.43
2008,12,-1.10%,"38,093.15",210.23
2009,1,-6.70%,"35,539.95",211.14
2009,2,-5.69%,"33,518.64",212.19
2009,3,12.32%,"37,648.72",212.71
2009,4,6.66%,"40,156.06",213.24
2009,5,2.87%,"41,308.08",213.86
2009,6,1.28%,"41,835.85",215.69
2009,7,8.12%,"45,233.23",215.35
2009,8,3.65%,"46,884.40",215.83
2009,9,2.40%,"48,011.09",215.97
2009,10,2.09%,"49,016.59",216.18
2009,11,2.23%,"50,107.63",216.33
2009,12,1.36%,"50,787.58",215.95
2010,1,-2.90%,"49,315.51",216.69
2010,2,5.94%,"52,246.35",216.74
2010,3,4.09%,"54,382.15",217.63
2010,4,-5.88%,"51,183.17",218.01
2010,5,-3.54%,"49,369.46",218.18
2010,6,-0.16%,"49,290.93",217.97
2010,7,0.86%,"49,716.61",218.01
2010,8,3.37%,"51,392.64",218.31
2010,9,4.58%,"53,745.10",218.44
2010,10,2.49%,"55,083.85",218.71
2010,11,3.71%,"57,129.52",218.80
2010,12,3.46%,"59,107.45",219.18
2011,1,3.15%,"60,969.85",220.22
2011,2,-1.11%,"60,291.58",221.31
2011,3,2.22%,"61,630.65",223.47
2011,4,0.66%,"62,036.94",224.91
2011,5,-3.66%,"59,764.77",225.96
2011,6,3.10%,"61,618.52",225.72
2011,7,-10.40%,"55,209.79",225.92
2011,8,-0.79%,"54,774.05",226.55
2011,9,3.02%,"56,427.63",226.89
2011,10,1.77%,"57,424.77",226.42
2011,11,1.55%,"58,317.59",226.23
2011,12,4.78%,"61,106.66",225.67
2012,1,4.16%,"63,650.29",226.67
2012,2,2.88%,"65,485.86",227.66
2012,3,-0.04%,"65,460.84",229.39
2012,4,-3.09%,"63,437.47",230.09
2012,5,-1.15%,"62,706.41",229.82
2012,6,2.92%,"64,538.12",229.48
2012,7,3.39%,"66,724.48",229.10
2012,8,3.02%,"68,740.34",230.38
2012,9,-0.22%,"68,591.08",231.41
2012,10,-2.84%,"66,644.81",231.32
2012,11,2.18%,"68,094.69",230.22
2012,12,4.27%,"71,001.49",229.60
2013,1,2.33%,"72,657.97",230.28
2013,2,2.72%,"74,636.05",232.17
2013,3,1.45%,"75,721.11",232.77
2013,4,4.57%,"79,184.79",232.53
2013,5,-1.12%,"78,299.69",232.95
2013,6,3.25%,"80,847.93",233.50
2013,7,0.25%,"81,052.09",233.60
2013,8,1.19%,"82,018.61",233.88
2013,9,2.12%,"83,755.40",234.15
2013,10,3.86%,"86,988.35",233.55
2013,11,1.52%,"88,312.02",233.07
2013,12,0.97%,"89,166.71",233.05
2014,1,-0.13%,"89,050.76",233.92
2014,2,2.72%,"91,474.96",234.78
2014,3,0.20%,"91,659.49",236.29
2014,4,1.53%,"93,063.75",237.07
2014,5,3.20%,"96,038.36",237.90
2014,6,1.50%,"97,474.92",238.34
2014,7,-0.43%,"97,058.75",238.25
2014,8,1.78%,"98,784.49",237.85
2014,9,-2.65%,"96,170.08",238.03
2014,10,5.71%,"101,657.21",237.43
2014,11,0.63%,"102,301.60",236.15
2014,12,-1.11%,"101,166.00",234.81
2015,1,2.83%,"104,026.37",233.71
2015,2,0.06%,"104,083.96",234.72
2015,3,0.88%,"104,998.25",236.12
2015,4,0.98%,"106,026.08",236.60
2015,5,-0.44%,"105,564.33",237.81
2015,6,-0.08%,"105,480.27",238.64
2015,7,-2.42%,"102,923.01",238.65
2015,8,-4.51%,"98,284.17",238.32
2015,9,4.32%,"102,527.22",237.95
2015,10,2.93%,"105,533.80",237.84
2015,11,-1.10%,"104,369.79",237.34
2015,12,-6.42%,"97,669.65",236.53
2016,1,-0.55%,"97,132.55",236.92
2016,2,6.36%,"103,312.83",237.11
2016,3,2.83%,"106,237.89",238.13
2016,4,-0.30%,"105,914.54",239.26
2016,5,1.07%,"107,044.10",240.23
2016,6,3.30%,"110,573.82",241.02
2016,7,1.20%,"111,899.88",240.63
2016,8,-0.44%,"111,409.01",240.85
2016,9,-0.51%,"110,845.30",241.43
2016,10,1.20%,"112,176.73",241.73
2016,11,3.95%,"116,603.19",241.35
2016,12,1.44%,"118,279.51",241.43
2017,1,2.58%,"121,326.92",242.84
2017,2,1.75%,"123,449.24",243.60
2017,3,-0.15%,"123,259.12",243.80
2017,4,1.69%,"125,345.13",244.52
2017,5,1.78%,"127,571.79",244.73
2017,6,0.99%,"128,832.05",244.96
2017,7,0.25%,"129,151.31",244.79
2017,8,1.65%,"131,286.52",245.52
2017,9,2.73%,"134,876.94",246.82
2017,10,1.59%,"137,020.90",246.66
2017,11,2.88%,"140,971.88",246.67
2017,12,4.86%,"147,825.79",246.52
2018,1,-2.89%,"143,558.52",247.87
2018,2,0.06%,"143,651.23",248.99
2018,3,-1.66%,"141,260.92",249.55
2018,4,1.96%,"144,031.92",250.55
2018,5,2.11%,"147,075.27",251.59
2018,6,1.58%,"149,400.15",251.99
2018,7,2.45%,"153,061.66",252.01
2018,8,1.68%,"155,632.71",252.15
2018,9,-3.85%,"149,642.43",252.44
2018,10,-2.08%,"146,535.69",252.89
2018,11,-5.56%,"138,384.62",252.04
2018,12,1.74%,"140,786.48",251.23
2019,1,5.83%,"148,992.78",251.71
2019,2,1.95%,"151,895.19",252.78
2019,3,3.72%,"157,550.59",254.20
2019,4,-1.53%,"155,137.24",255.55
2019,5,1.40%,"157,316.53",256.09
2019,6,3.83%,"163,337.58",256.14
2019,7,-3.13%,"158,217.90",256.57
2019,8,3.09%,"163,099.28",256.56
2019,9,0.01%,"163,115.27",256.76
2019,10,4.43%,"170,347.30",257.35
2019,11,2.47%,"174,553.72",257.21
2019,12,3.35%,"180,394.98",256.97
2020,1,0.12%,"180,615.20",257.97
2020,2,-18.92%,"146,446.94",258.68
2020,3,4.32%,"152,771.42",258.12
2020,4,5.89%,"161,765.63",256.39
2020,5,6.51%,"172,293.78",256.39
2020,6,3.48%,"178,283.46",257.80
2020,7,5.89%,"188,790.61",259.10
2020,8,-0.63%,"187,606.89",259.92
2020,9,1.73%,"190,844.98",260.28
2020,10,3.95%,"198,391.22",260.39
2020,11,4.26%,"206,842.84",260.23
2020,12,2.80%,"212,624.72",260.47
2021,1,2.49%,"217,922.32",261.58
2021,2,0.82%,"219,712.25",263.01
2021,3,6.02%,"232,942.19",264.88
2021,4,0.76%,"234,713.09",267.05
2021,5,1.81%,"238,962.39",269.20
2021,6,3.07%,"246,294.24",271.70
2021,7,2.19%,"251,676.16",273.00
2021,8,-0.08%,"251,463.50",273.57
2021,9,0.45%,"252,600.56",274.31
2021,10,4.74%,"264,585.81",276.59
2021,11,0.27%,"265,288.03",277.95
2021,12,-2.05%,"259,844.44",278.80
2022,1,-2.90%,"252,302.28",281.15
2022,2,-0.89%,"250,050.27",283.72
2022,3,0.12%,"250,346.08",287.50
2022,4,-7.87%,"230,637.01",289.11
2022,5,-3.37%,"222,865.96",292.30
2022,6,0.46%,"223,901.59",296.31
2022,7,6.45%,"238,337.40",296.28
2022,8,-7.28%,"220,992.63",296.17
2022,9,-3.09%,"214,161.36",296.81
2022,10,5.29%,"225,479.99",298.01
2022,11,0.01%,"225,504.42",297.71
2022,12,1.38%,"228,608.39",296.80
2023,1,3.15%,"235,802.64",299.17
2023,2,-2.59%,"229,706.13",300.84
2023,3,4.00%,"238,885.70",301.84
2023,4,0.74%,"240,647.94",303.36
2023,5,4.94%,"252,541.21",304.13
2023,6,3.88%,"262,329.82",305.11
2023,7,-1.00%,"259,712.72",305.69
2023,8,-0.95%,"257,236.16",307.03
2023,9,-3.04%,"249,423.09",307.79
2023,10,4.60%,"260,900.85",307.67
2023,11,5.18%,"274,403.12",307.05
2023,12,2.91%,"282,393.29",306.75
2024,1,4.20%,"294,251.75",308.42
2024,2,3.28%,"303,909.44",310.33
2024,3,-1.01%,"300,842.61",312.33
2024,4,2.52%,"308,413.95",313.55
2024,5,3.55%,"319,364.45",314.07
2024,6,2.38%,"326,964.24",314.18
2024,7,-0.97%,"323,790.69",314.54
2024,8,2.72%,"332,604.63",314.80
2024,9,3.15%,"343,087.95",315.30
2024,10,4.40%,"358,181.95",315.66
